graphID,participantID,xCoordTour,yCoordTour,tourCost,sdAnglesHull,noAnglesHull,meanAnglesHull,totalEdges,crossError,resultsfromNN,No. of crossings,On last
14,0.21046504,"94,90,90,83,81,79,76,83,90,83,84,73,66,58,51,53,49,43,46,23,16,13,16,4,4,7,2,9,15,30,27,12,9,13,18,44,40,46,50,46,43,48,50,50,53,54,62,65,81,82,89","40,32,45,50,46,56,59,67,78,79,95,94,71,84,72,85,88,81,96,97,97,99,85,84,76,76,46,54,59,56,35,11,5,6,4,4,12,15,18,35,56,46,50,50,50,42,38,9,13,5,8",618.7155733,26.85,11,147.27,50,0,738.37,,
4,0.21046504,"99,77,83,84,93,74,79,66,45,40,28,26,27,21,18,11,0,0,13,58","22,11,37,59,87,60,82,94,54,75,98,71,64,57,44,51,57,24,9,8",489.00897,25.36,9,139.75,20,1,548.01,1,T
7,0.21046504,"98,95,85,82,93,86,88,61,48,42,40,32,28,24,10,0,5,8,6,3,28,28,37,35,39,40,45,51,55,65,76","22,19,20,42,56,64,92,41,83,87,70,64,75,67,65,55,48,42,9,3,4,28,42,27,24,12,20,10,3,2,11",508.870103,30.14,8,135,30,1,522.3,1,T
8,0.21046504,"97,94,95,94,91,96,91,79,81,59,52,51,34,31,26,19,21,21,14,7,1,0,7,28,20,24,50,68,88,80","2,15,25,30,58,67,73,73,90,96,97,91,88,86,81,87,91,97,94,90,42,18,6,14,27,47,66,51,24,5",474.6717518,27.56,11,147.27,30,0,593.5,,
11,0.21046504,"94,90,83,81,85,77,74,66,62,56,56,54,48,49,42,36,37,25,19,15,17,8,12,17,33,27,22,17,2,12,34,45,52,58,55,56,65,68,64,83","43,70,71,77,84,87,65,79,88,66,76,96,80,67,66,81,96,95,90,96,71,70,63,58,58,51,48,46,27,30,29,25,35,30,24,12,17,10,2,5",532.3231738,26.79,9,140.1,40,0,568.39,,
13,0.21046504,"96,98,99,96,88,87,85,75,73,76,75,74,64,42,27,16,12,2,3,1,5,15,17,25,29,43,46,56,58,65,85,83,54,46,46,40,40,40,37,34,36,31,26,20,18,14,9,1,2,11","47,24,19,18,28,42,51,52,39,37,29,12,7,6,8,19,13,16,25,34,47,48,53,46,31,52,50,33,25,38,87,91,88,67,94,99,85,71,73,83,95,79,79,85,72,71,62,64,81,89",733.8901721,25.29,13,180,50,1,653.11,1,T
2,0.21046504,"98,90,92,68,36,23,29,9,31,61","34,67,82,84,96,89,84,50,56,27",271.5541837,23.37,6,120,10,0,280.33,,
0,0.21046504,"89,94,73,61,57,11,1,7,26,41","39,23,60,55,4,13,39,51,64,96",344.4904997,32,7,128.57,10,1,289.88,1,T
9,0.21046504,"94,87,86,75,68,64,48,53,55,59,68,75,85,92,99,97,94,88,80,73,65,52,48,39,44,50,50,46,49,38,33,31,4,3,9,19,16,8,1,0","7,15,4,5,4,14,12,21,25,31,41,48,51,63,71,77,81,91,67,62,90,99,99,94,79,78,62,50,31,40,8,40,21,50,60,81,94,83,84,97",685.6828427,28.76,11,147.27,40,1,649.17,1,T
5,0.21046504,"97,86,72,60,52,46,30,8,6,12,2,30,28,39,47,63,66,73,89,91","19,9,13,27,26,13,18,7,20,35,51,84,35,54,48,91,44,52,64,45",453.449503,23.34,8,135,20,0,474,,
12,0.21046504,"98,85,85,87,96,91,80,72,68,61,57,56,57,48,44,38,30,30,20,17,11,0,5,0,1,9,12,21,17,22,27,26,30,25,19,32,38,39,31,31,36,40,45,47,51,45,56,67,62,99","34,22,30,39,64,76,51,30,13,26,25,13,5,9,11,5,4,15,9,5,22,20,56,60,82,83,99,96,78,80,71,61,53,39,34,36,41,58,86,91,85,77,70,63,60,92,75,77,91,98",733.1180825,27.03,10,144,50,0,816.69,,
10,0.21046504,"96,92,75,65,62,52,46,12,16,19,22,30,32,27,24,15,13,10,7,17,21,23,28,41,43,47,59,66,70,62,68,70,81,83,83,94,99,92,96,98","9,3,6,14,22,28,4,11,22,33,44,49,56,67,65,63,57,80,85,99,97,90,86,66,78,78,75,89,77,46,46,36,35,54,65,69,55,49,44,40",511.5626409,20.6,9,140,40,0,644.39,,
6,0.081473552,"90,95,93,89,82,66,63,47,65,51,53,50,38,30,28,33,35,37,30,22,17,14,2,1,0,13,20,21,41,51,65","4,79,95,73,63,73,76,93,55,73,62,61,95,95,82,65,53,49,45,46,72,73,85,80,53,40,18,13,6,6,18",562.7776416,29.23,9,140,30,0,520.95,,
11,0.081473552,"94,83,64,68,65,56,55,58,52,45,34,12,2,17,17,12,8,17,22,27,15,19,25,33,36,37,42,48,49,56,56,54,62,66,74,77,81,83,85,90","43,5,2,10,17,12,24,30,35,25,29,30,27,46,58,63,70,71,48,51,96,90,95,58,81,96,66,80,67,66,76,96,88,79,65,87,77,71,84,70",623.7806122,26.79,9,140.1,40,0,568.39,,
